rho,phi,dphi_drho,potential,euclidean_action_density,cumulative_action
1.9800,1.463238,-0.500822,-0.005269,19.215957,2.539013
2.0000,1.453127,-0.510285,0.007225,20.559636,2.744609
2.0200,1.442827,-0.519759,0.020023,21.976473,2.964374
2.0400,1.432337,-0.529235,0.033122,23.468590,3.199060
2.0600,1.421657,-0.538703,0.046518,25.037994,3.449440
2.0800,1.410789,-0.548153,0.060206,26.686563,3.716305
2.1000,1.399731,-0.557574,0.074180,28.416021,4.000466
2.1200,1.388486,-0.566957,0.088432,30.227919,4.302745
2.1400,1.377054,-0.576291,0.102955,32.123616,4.623981
2.1600,1.365435,-0.585563,0.117739,34.104249,4.965023
2.1800,1.353632,-0.594763,0.132774,36.170721,5.326731
2.2000,1.341645,-0.603879,0.148050,38.323670,5.709967
2.2200,1.329478,-0.612898,0.163554,40.563451,6.115602
2.2400,1.317131,-0.621809,0.179273,42.890116,6.544503
2.2600,1.304606,-0.630598,0.195193,45.303386,6.997537
2.2800,1.291908,-0.639254,0.211299,47.802636,7.475563
2.3000,1.279038,-0.647764,0.227574,50.386875,7.979432
2.3200,1.265999,-0.656115,0.244003,53.054726,8.509979
2.3400,1.252795,-0.664294,0.260567,55.804409,9.068023
2.3600,1.239429,-0.672289,0.277247,58.633726,9.654361
2.3800,1.225905,-0.680086,0.294025,61.540052,10.269761
2.4000,1.212228,-0.687672,0.310879,64.520320,10.914964
2.4200,1.198401,-0.695036,0.327789,67.571014,11.590674
2.4400,1.184429,-0.702164,0.344734,70.688166,12.297556
2.4600,1.170317,-0.709045,0.361691,73.867352,13.036230
2.4800,1.156069,-0.715666,0.378638,77.103694,13.807267
2.5000,1.141693,-0.722015,0.395553,80.391866,14.611185
2.5200,1.127192,-0.728081,0.412412,83.726098,15.448446
2.5400,1.112572,-0.733853,0.429192,87.100194,16.319448
2.5600,1.097841,-0.739320,0.445870,90.507542,17.224524
2.5800,1.083003,-0.744472,0.462422,93.941139,18.163935
2.6000,1.068065,-0.749299,0.478827,97.393608,19.137871
2.6200,1.053034,-0.753792,0.495060,100.857232,20.146443
2.6400,1.037917,-0.757943,0.511100,104.323979,21.189683
2.6600,1.022720,-0.761742,0.526924,107.785539,22.267539
2.6800,1.007451,-0.765183,0.542511,111.233362,23.379872
2.7000,0.992116,-0.768260,0.557840,114.658697,24.526459
2.7200,0.976724,-0.770965,0.572892,118.052636,25.706986
2.7400,0.961281,-0.773294,0.587647,121.406161,26.921047
2.7600,0.945796,-0.775242,0.602087,124.710188,28.168149
2.7800,0.930275,-0.776806,0.616195,127.955624,29.447705
2.8000,0.914728,-0.777982,0.629956,131.133411,30.759039
2.8200,0.899160,-0.778769,0.643353,134.234581,32.101385
2.8400,0.883581,-0.779165,0.656374,137.250307,33.473888
2.8600,0.867997,-0.779169,0.669007,140.171956,34.875608
2.8800,0.852418,-0.778782,0.681240,142.991140,36.305519
2.9000,0.836850,-0.778005,0.693064,145.699765,37.762517
2.9200,0.821302,-0.776841,0.704471,148.290081,39.245418
2.9400,0.805780,-0.775291,0.715454,150.754729,40.752965
2.9600,0.790294,-0.773359,0.726007,153.086780,42.283833
2.9800,0.774850,-0.771051,0.736128,155.279785,43.836631
3.0000,0.759455,-0.768371,0.745813,157.327801,45.409909
3.0200,0.744118,-0.765325,0.755062,159.225437,47.002163
3.0400,0.728846,-0.761920,0.763875,160.967873,48.611842
3.0600,0.713645,-0.758163,0.772253,162.550891,50.237351
3.0800,0.698523,-0.754063,0.780199,163.970898,51.877060
3.1000,0.683486,-0.749627,0.787718,165.224935,53.529309
3.1200,0.668541,-0.744866,0.794815,166.310697,55.192416
3.1400,0.653695,-0.739790,0.801497,167.226533,56.864681
3.1600,0.638953,-0.734408,0.807770,167.971452,58.544396
3.1800,0.624321,-0.728731,0.813644,168.545118,60.229847
3.2000,0.609806,-0.722772,0.819127,168.947845,61.919325
3.2200,0.595413,-0.716542,0.824231,169.180584,63.611131
3.2400,0.581147,-0.710052,0.828965,169.244905,65.303580
3.2600,0.567013,-0.703316,0.833341,169.142982,66.995010
3.2800,0.553017,-0.696346,0.837373,168.877564,68.683786
3.3000,0.539162,-0.689156,0.841071,168.451951,70.368305
3.3200,0.525453,-0.681757,0.844450,167.869963,72.047005
3.3400,0.511893,-0.674164,0.847522,167.135910,73.718364
3.3600,0.498488,-0.666389,0.850301,166.254551,75.380909
3.3800,0.485239,-0.658447,0.852801,165.231064,77.033220
3.4000,0.472151,-0.650351,0.855036,164.071002,78.673930
3.4200,0.459227,-0.642114,0.857019,162.780257,80.301733
3.4400,0.446468,-0.633749,0.858765,161.365021,81.915383
3.4600,0.433878,-0.625270,0.860287,159.831738,83.513700
3.4800,0.421458,-0.616690,0.861599,158.187075,85.095571
3.5000,0.409211,-0.608022,0.862714,156.437870,86.659950
3.5200,0.397138,-0.599278,0.863646,154.591100,88.205861
3.5400,0.385241,-0.590472,0.864407,152.653842,89.732399
3.5600,0.373520,-0.581615,0.865010,150.633232,91.238731
3.5800,0.361977,-0.572720,0.865466,148.536431,92.724096
3.6000,0.350611,-0.563798,0.865789,146.370592,94.187802
3.6200,0.339425,-0.554860,0.865988,144.142826,95.629230
3.6400,0.328417,-0.545919,0.866075,141.860170,97.047832
3.6600,0.317588,-0.536984,0.866061,139.529565,98.443127
3.6800,0.306938,-0.528067,0.865955,137.157822,99.814706
3.7000,0.296465,-0.519176,0.865768,134.751603,101.162222
3.7200,0.286170,-0.510322,0.865507,132.317400,102.485396
3.7400,0.276052,-0.501514,0.865181,129.861513,103.784011
3.7600,0.266109,-0.492761,0.864800,127.390035,105.057911
3.7800,0.256341,-0.484071,0.864369,124.908836,106.306999
3.8000,0.246745,-0.475453,0.863897,122.423555,107.531235
3.8200,0.237322,-0.466913,0.863390,119.939585,108.730631
3.8400,0.228068,-0.458461,0.862854,117.462067,109.905252
3.8600,0.218982,-0.450101,0.862295,114.995885,111.055210
3.8800,0.210063,-0.441842,0.861719,112.545662,112.180667
3.9000,0.201308,-0.433689,0.861130,110.115755,113.281825
3.9200,0.192714,-0.425647,0.860533,107.710259,114.358927
3.9400,0.184281,-0.417723,0.859931,105.333006,115.412257
3.9600,0.176004,-0.409921,0.859330,102.987567,116.442133
3.9800,0.167883,-0.402246,0.858732,100.677256,117.448905
4.0000,0.159913,-0.394702,0.858140,98.405139,118.432957
4.0200,0.152093,-0.387293,0.857558,96.174034,119.394697
4.0400,0.144420,-0.380024,0.856988,93.986523,120.334562
4.0600,0.136891,-0.372897,0.856432,91.844959,121.253012
4.0800,0.129503,-0.365915,0.855892,89.751474,122.150527
4.1000,0.122253,-0.359082,0.855370,87.707990,123.027607
4.1200,0.115138,-0.352400,0.854867,85.716229,123.884769
4.1400,0.108155,-0.345871,0.854385,83.777721,124.722546
4.1600,0.101301,-0.339497,0.853926,81.893818,125.541484
4.1800,0.094574,-0.333280,0.853489,80.065705,126.342141
4.2000,0.087969,-0.327221,0.853076,78.294410,127.125085
4.2200,0.081483,-0.321323,0.852688,76.580815,127.890894
4.2400,0.075114,-0.315585,0.852325,74.925671,128.640150
4.2600,0.068858,-0.310010,0.851988,73.329605,129.373446
4.2800,0.062712,-0.304597,0.851677,71.793138,130.091378
4.3000,0.056673,-0.299348,0.851392,70.316688,130.794545
4.3200,0.050737,-0.294263,0.851133,68.900590,131.483550
4.3400,0.044901,-0.289343,0.850901,67.545103,132.159002
4.3600,0.039161,-0.284587,0.850696,66.250423,132.821506
4.3800,0.033515,-0.279996,0.850517,65.016691,133.471673
4.4000,0.027960,-0.275570,0.850365,63.844009,134.110113
4.4200,0.022491,-0.271308,0.850239,62.732448,134.737437
4.4400,0.017106,-0.267211,0.850140,61.682058,135.354258
4.4600,0.011801,-0.263279,0.850068,60.692880,135.961187
4.4800,0.006573,-0.259511,0.850021,59.764957,136.558836
4.5000,0.001419,-0.255907,0.850001,58.898341,137.147820
4.5200,0.000000,0.000000,0.850000,0.000000,137.147820
4.5400,0.000000,0.000000,0.850000,0.000000,137.147820
4.5600,0.000000,0.000000,0.850000,0.000000,137.147820
4.5800,0.000000,0.000000,0.850000,0.000000,137.147820
4.6000,0.000000,0.000000,0.850000,0.000000,137.147820
4.6200,0.000000,0.000000,0.850000,0.000000,137.147820
4.6400,0.000000,0.000000,0.850000,0.000000,137.147820
4.6600,0.000000,0.000000,0.850000,0.000000,137.147820
4.6800,0.000000,0.000000,0.850000,0.000000,137.147820
4.7000,0.000000,0.000000,0.850000,0.000000,137.147820
4.7200,0.000000,0.000000,0.850000,0.000000,137.147820
4.7400,0.000000,0.000000,0.850000,0.000000,137.147820
4.7600,0.000000,0.000000,0.850000,0.000000,137.147820
4.7800,0.000000,0.000000,0.850000,0.000000,137.147820
4.8000,0.000000,0.000000,0.850000,0.000000,137.147820
4.8200,0.000000,0.000000,0.850000,0.000000,137.147820
4.8400,0.000000,0.000000,0.850000,0.000000,137.147820
4.8600,0.000000,0.000000,0.850000,0.000000,137.147820
4.8800,0.000000,0.000000,0.850000,0.000000,137.147820
4.9000,0.000000,0.000000,0.850000,0.000000,137.147820
4.9200,0.000000,0.000000,0.850000,0.000000,137.147820
4.9400,0.000000,0.000000,0.850000,0.000000,137.147820
