rho,phi,dphi_drho,potential,euclidean_action_density,cumulative_action
9.0200,0.000000,0.000000,0.850000,0.000000,137.147820
9.0400,0.000000,0.000000,0.850000,0.000000,137.147820
9.0600,0.000000,0.000000,0.850000,0.000000,137.147820
9.0800,0.000000,0.000000,0.850000,0.000000,137.147820
9.1000,0.000000,0.000000,0.850000,0.000000,137.147820
9.1200,0.000000,0.000000,0.850000,0.000000,137.147820
9.1400,0.000000,0.000000,0.850000,0.000000,137.147820
9.1600,0.000000,0.000000,0.850000,0.000000,137.147820
9.1800,0.000000,0.000000,0.850000,0.000000,137.147820
9.2000,0.000000,0.000000,0.850000,0.000000,137.147820
9.2200,0.000000,0.000000,0.850000,0.000000,137.147820
9.2400,0.000000,0.000000,0.850000,0.000000,137.147820
9.2600,0.000000,0.000000,0.850000,0.000000,137.147820
9.2800,0.000000,0.000000,0.850000,0.000000,137.147820
9.3000,0.000000,0.000000,0.850000,0.000000,137.147820
9.3200,0.000000,0.000000,0.850000,0.000000,137.147820
9.3400,0.000000,0.000000,0.850000,0.000000,137.147820
9.3600,0.000000,0.000000,0.850000,0.000000,137.147820
9.3800,0.000000,0.000000,0.850000,0.000000,137.147820
9.4000,0.000000,0.000000,0.850000,0.000000,137.147820
9.4200,0.000000,0.000000,0.850000,0.000000,137.147820
9.4400,0.000000,0.000000,0.850000,0.000000,137.147820
9.4600,0.000000,0.000000,0.850000,0.000000,137.147820
9.4800,0.000000,0.000000,0.850000,0.000000,137.147820
9.5000,0.000000,0.000000,0.850000,0.000000,137.147820
9.5200,0.000000,0.000000,0.850000,0.000000,137.147820
9.5400,0.000000,0.000000,0.850000,0.000000,137.147820
9.5600,0.000000,0.000000,0.850000,0.000000,137.147820
9.5800,0.000000,0.000000,0.850000,0.000000,137.147820
9.6000,0.000000,0.000000,0.850000,0.000000,137.147820
9.6200,0.000000,0.000000,0.850000,0.000000,137.147820
9.6400,0.000000,0.000000,0.850000,0.000000,137.147820
9.6600,0.000000,0.000000,0.850000,0.000000,137.147820
9.6800,0.000000,0.000000,0.850000,0.000000,137.147820
9.7000,0.000000,0.000000,0.850000,0.000000,137.147820
9.7200,0.000000,0.000000,0.850000,0.000000,137.147820
9.7400,0.000000,0.000000,0.850000,0.000000,137.147820
9.7600,0.000000,0.000000,0.850000,0.000000,137.147820
9.7800,0.000000,0.000000,0.850000,0.000000,137.147820
9.8000,0.000000,0.000000,0.850000,0.000000,137.147820
9.8200,0.000000,0.000000,0.850000,0.000000,137.147820
9.8400,0.000000,0.000000,0.850000,0.000000,137.147820
9.8600,0.000000,0.000000,0.850000,0.000000,137.147820
9.8800,0.000000,0.000000,0.850000,0.000000,137.147820
9.9000,0.000000,0.000000,0.850000,0.000000,137.147820
9.9200,0.000000,0.000000,0.850000,0.000000,137.147820
9.9400,0.000000,0.000000,0.850000,0.000000,137.147820
9.9600,0.000000,0.000000,0.850000,0.000000,137.147820
9.9800,0.000000,0.000000,0.850000,0.000000,137.147820
10.0000,0.000000,0.000000,0.850000,0.000000,137.147820
10.0200,0.000000,0.000000,0.850000,0.000000,137.147820
10.0400,0.000000,0.000000,0.850000,0.000000,137.147820
10.0600,0.000000,0.000000,0.850000,0.000000,137.147820
10.0800,0.000000,0.000000,0.850000,0.000000,137.147820
10.1000,0.000000,0.000000,0.850000,0.000000,137.147820
10.1200,0.000000,0.000000,0.850000,0.000000,137.147820
10.1400,0.000000,0.000000,0.850000,0.000000,137.147820
10.1600,0.000000,0.000000,0.850000,0.000000,137.147820
10.1800,0.000000,0.000000,0.850000,0.000000,137.147820
10.2000,0.000000,0.000000,0.850000,0.000000,137.147820
10.2200,0.000000,0.000000,0.850000,0.000000,137.147820
10.2400,0.000000,0.000000,0.850000,0.000000,137.147820
10.2600,0.000000,0.000000,0.850000,0.000000,137.147820
10.2800,0.000000,0.000000,0.850000,0.000000,137.147820
10.3000,0.000000,0.000000,0.850000,0.000000,137.147820
10.3200,0.000000,0.000000,0.850000,0.000000,137.147820
10.3400,0.000000,0.000000,0.850000,0.000000,137.147820
10.3600,0.000000,0.000000,0.850000,0.000000,137.147820
10.3800,0.000000,0.000000,0.850000,0.000000,137.147820
10.4000,0.000000,0.000000,0.850000,0.000000,137.147820
10.4200,0.000000,0.000000,0.850000,0.000000,137.147820
10.4400,0.000000,0.000000,0.850000,0.000000,137.147820
10.4600,0.000000,0.000000,0.850000,0.000000,137.147820
10.4800,0.000000,0.000000,0.850000,0.000000,137.147820
10.5000,0.000000,0.000000,0.850000,0.000000,137.147820
10.5200,0.000000,0.000000,0.850000,0.000000,137.147820
10.5400,0.000000,0.000000,0.850000,0.000000,137.147820
10.5600,0.000000,0.000000,0.850000,0.000000,137.147820
10.5800,0.000000,0.000000,0.850000,0.000000,137.147820
10.6000,0.000000,0.000000,0.850000,0.000000,137.147820
10.6200,0.000000,0.000000,0.850000,0.000000,137.147820
10.6400,0.000000,0.000000,0.850000,0.000000,137.147820
10.6600,0.000000,0.000000,0.850000,0.000000,137.147820
10.6800,0.000000,0.000000,0.850000,0.000000,137.147820
10.7000,0.000000,0.000000,0.850000,0.000000,137.147820
10.7200,0.000000,0.000000,0.850000,0.000000,137.147820
10.7400,0.000000,0.000000,0.850000,0.000000,137.147820
10.7600,0.000000,0.000000,0.850000,0.000000,137.147820
10.7800,0.000000,0.000000,0.850000,0.000000,137.147820
10.8000,0.000000,0.000000,0.850000,0.000000,137.147820
10.8200,0.000000,0.000000,0.850000,0.000000,137.147820
10.8400,0.000000,0.000000,0.850000,0.000000,137.147820
10.8600,0.000000,0.000000,0.850000,0.000000,137.147820
10.8800,0.000000,0.000000,0.850000,0.000000,137.147820
10.9000,0.000000,0.000000,0.850000,0.000000,137.147820
10.9200,0.000000,0.000000,0.850000,0.000000,137.147820
10.9400,0.000000,0.000000,0.850000,0.000000,137.147820
10.9600,0.000000,0.000000,0.850000,0.000000,137.147820
10.9800,0.000000,0.000000,0.850000,0.000000,137.147820
11.0000,0.000000,0.000000,0.850000,0.000000,137.147820
11.0200,0.000000,0.000000,0.850000,0.000000,137.147820
11.0400,0.000000,0.000000,0.850000,0.000000,137.147820
11.0600,0.000000,0.000000,0.850000,0.000000,137.147820
11.0800,0.000000,0.000000,0.850000,0.000000,137.147820
11.1000,0.000000,0.000000,0.850000,0.000000,137.147820
11.1200,0.000000,0.000000,0.850000,0.000000,137.147820
11.1400,0.000000,0.000000,0.850000,0.000000,137.147820
11.1600,0.000000,0.000000,0.850000,0.000000,137.147820
11.1800,0.000000,0.000000,0.850000,0.000000,137.147820
11.2000,0.000000,0.000000,0.850000,0.000000,137.147820
11.2200,0.000000,0.000000,0.850000,0.000000,137.147820
11.2400,0.000000,0.000000,0.850000,0.000000,137.147820
11.2600,0.000000,0.000000,0.850000,0.000000,137.147820
11.2800,0.000000,0.000000,0.850000,0.000000,137.147820
11.3000,0.000000,0.000000,0.850000,0.000000,137.147820
11.3200,0.000000,0.000000,0.850000,0.000000,137.147820
11.3400,0.000000,0.000000,0.850000,0.000000,137.147820
11.3600,0.000000,0.000000,0.850000,0.000000,137.147820
11.3800,0.000000,0.000000,0.850000,0.000000,137.147820
11.4000,0.000000,0.000000,0.850000,0.000000,137.147820
11.4200,0.000000,0.000000,0.850000,0.000000,137.147820
11.4400,0.000000,0.000000,0.850000,0.000000,137.147820
11.4600,0.000000,0.000000,0.850000,0.000000,137.147820
11.4800,0.000000,0.000000,0.850000,0.000000,137.147820
11.5000,0.000000,0.000000,0.850000,0.000000,137.147820
11.5200,0.000000,0.000000,0.850000,0.000000,137.147820
11.5400,0.000000,0.000000,0.850000,0.000000,137.147820
11.5600,0.000000,0.000000,0.850000,0.000000,137.147820
11.5800,0.000000,0.000000,0.850000,0.000000,137.147820
11.6000,0.000000,0.000000,0.850000,0.000000,137.147820
11.6200,0.000000,0.000000,0.850000,0.000000,137.147820
11.6400,0.000000,0.000000,0.850000,0.000000,137.147820
11.6600,0.000000,0.000000,0.850000,0.000000,137.147820
11.6800,0.000000,0.000000,0.850000,0.000000,137.147820
11.7000,0.000000,0.000000,0.850000,0.000000,137.147820
11.7200,0.000000,0.000000,0.850000,0.000000,137.147820
11.7400,0.000000,0.000000,0.850000,0.000000,137.147820
11.7600,0.000000,0.000000,0.850000,0.000000,137.147820
11.7800,0.000000,0.000000,0.850000,0.000000,137.147820
11.8000,0.000000,0.000000,0.850000,0.000000,137.147820
11.8200,0.000000,0.000000,0.850000,0.000000,137.147820
11.8400,0.000000,0.000000,0.850000,0.000000,137.147820
11.8600,0.000000,0.000000,0.850000,0.000000,137.147820
11.8800,0.000000,0.000000,0.850000,0.000000,137.147820
11.9000,0.000000,0.000000,0.850000,0.000000,137.147820
11.9200,0.000000,0.000000,0.850000,0.000000,137.147820
11.9400,0.000000,0.000000,0.850000,0.000000,137.147820
11.9600,0.000000,0.000000,0.850000,0.000000,137.147820
11.9800,0.000000,0.000000,0.850000,0.000000,137.147820
12.0000,0.000000,0.000000,0.850000,0.000000,137.147820
