r,phi_ratio,dphi_dr
7.93986e-01,3.08638e-05,9.30681e-04
8.00000e-01,3.69992e-05,1.11514e-03
8.03008e-01,4.05092e-05,1.22058e-03
8.06015e-01,4.43510e-05,1.33592e-03
8.09023e-01,4.85557e-05,1.46207e-03
8.12030e-01,5.31572e-05,1.60003e-03
8.15038e-01,5.81928e-05,1.75089e-03
8.18045e-01,6.37030e-05,1.91583e-03
8.21053e-01,6.97320e-05,2.09614e-03
8.24060e-01,7.63282e-05,2.29324e-03
8.27068e-01,8.35443e-05,2.50864e-03
8.30075e-01,9.14378e-05,2.74401e-03
8.33083e-01,1.00071e-04,3.00116e-03
8.36090e-01,1.09514e-04,3.28206e-03
8.39098e-01,1.19839e-04,3.58882e-03
8.42105e-01,1.31129e-04,3.92378e-03
8.45113e-01,1.43472e-04,4.28943e-03
8.48120e-01,1.56963e-04,4.68850e-03
8.51128e-01,1.71709e-04,5.12394e-03
8.54135e-01,1.87824e-04,5.59895e-03
8.57143e-01,2.05430e-04,6.11696e-03
8.60150e-01,2.24664e-04,6.68171e-03
8.63158e-01,2.45672e-04,7.29723e-03
8.66165e-01,2.68613e-04,7.96786e-03
8.69173e-01,2.93659e-04,8.69829e-03
8.72180e-01,3.20998e-04,9.49356e-03
8.75188e-01,3.50834e-04,1.03591e-02
8.78195e-01,3.83385e-04,1.13007e-02
8.81203e-01,4.18890e-04,1.23247e-02
8.84211e-01,4.57607e-04,1.34377e-02
8.87218e-01,4.99815e-04,1.46468e-02
8.90226e-01,5.45813e-04,1.59599e-02
8.93233e-01,5.95926e-04,1.73850e-02
8.96241e-01,6.50505e-04,1.89308e-02
8.99248e-01,7.09926e-04,2.06065e-02
9.02256e-01,7.74594e-04,2.24221e-02
9.05263e-01,8.44946e-04,2.43878e-02
9.08271e-01,9.21450e-04,2.65148e-02
9.11278e-01,1.00461e-03,2.88145e-02
9.14286e-01,1.09496e-03,3.12991e-02
9.17293e-01,1.19307e-03,3.39815e-02
9.20301e-01,1.29957e-03,3.68750e-02
9.23308e-01,1.41510e-03,3.99937e-02
9.26316e-01,1.54037e-03,4.33520e-02
9.29323e-01,1.67612e-03,4.69650e-02
9.32331e-01,1.82314e-03,5.08484e-02
9.35338e-01,1.98226e-03,5.50181e-02
9.38346e-01,2.15438e-03,5.94906e-02
9.41353e-01,2.34042e-03,6.42827e-02
9.44361e-01,2.54138e-03,6.94116e-02
9.47368e-01,2.75829e-03,7.48944e-02
9.50376e-01,2.99224e-03,8.07485e-02
9.53383e-01,3.24438e-03,8.69913e-02
9.56391e-01,3.51591e-03,9.36401e-02
9.59398e-01,3.80806e-03,1.00712e-01
9.62406e-01,4.12213e-03,1.08223e-01
9.65414e-01,4.45948e-03,1.16190e-01
9.68421e-01,4.82149e-03,1.24628e-01
9.71429e-01,5.20960e-03,1.33551e-01
9.74436e-01,5.62530e-03,1.42973e-01
9.77444e-01,6.07011e-03,1.52907e-01
9.80451e-01,6.54557e-03,1.63364e-01
9.83459e-01,7.05328e-03,1.74353e-01
9.86466e-01,7.59485e-03,1.85881e-01
9.89474e-01,8.17191e-03,1.97956e-01
9.92481e-01,8.78612e-03,2.10581e-01
9.95489e-01,9.43912e-03,2.23759e-01
9.98496e-01,1.01326e-02,2.37489e-01
1.00150e+00,1.08682e-02,2.51768e-01
1.00451e+00,1.16475e-02,2.66592e-01
1.00752e+00,1.24723e-02,2.81954e-01
1.01053e+00,1.33440e-02,2.97843e-01
1.01353e+00,1.42643e-02,3.14247e-01
1.01654e+00,1.52347e-02,3.31151e-01
1.01955e+00,1.62567e-02,3.48539e-01
1.02256e+00,1.73317e-02,3.66389e-01
1.02556e+00,1.84610e-02,3.84680e-01
1.02857e+00,1.96459e-02,4.03387e-01
1.03158e+00,2.08878e-02,4.22484e-01
1.03459e+00,2.21876e-02,4.41942e-01
1.03759e+00,2.35464e-02,4.61731e-01
1.04060e+00,2.49652e-02,4.81818e-01
1.04361e+00,2.64448e-02,5.02170e-01
1.04662e+00,2.79860e-02,5.22753e-01
1.04962e+00,2.95894e-02,5.43530e-01
1.05263e+00,3.12555e-02,5.64464e-01
1.05564e+00,3.29848e-02,5.85520e-01
1.05865e+00,3.47775e-02,6.06658e-01
1.06165e+00,3.66339e-02,6.27843e-01
1.06466e+00,3.85540e-02,6.49035e-01
1.06767e+00,4.05378e-02,6.70197e-01
1.07068e+00,4.25852e-02,6.91293e-01
1.07368e+00,4.46959e-02,7.12287e-01
1.07669e+00,4.68695e-02,7.33143e-01
1.07970e+00,4.91056e-02,7.53828e-01
1.08271e+00,5.14036e-02,7.74307e-01
1.08571e+00,5.37629e-02,7.94550e-01
1.08872e+00,5.61826e-02,8.14525e-01
1.09173e+00,5.86620e-02,8.34205e-01
1.09474e+00,6.12000e-02,8.53561e-01
1.09774e+00,6.37958e-02,8.72568e-01
1.10075e+00,6.64482e-02,8.91203e-01
1.10376e+00,6.91560e-02,9.09444e-01
1.10677e+00,7.19181e-02,9.27269e-01
1.10977e+00,7.47332e-02,9.44661e-01
1.11278e+00,7.75998e-02,9.61603e-01
1.11579e+00,8.05168e-02,9.78080e-01
1.11880e+00,8.34825e-02,9.94080e-01
1.12180e+00,8.64957e-02,1.00959e+00
1.12481e+00,8.95548e-02,1.02460e+00
1.12782e+00,9.26582e-02,1.03910e+00
1.13083e+00,9.58045e-02,1.05310e+00
