t,x_pos,y_pos,phi1,phi2,grad_sq,potential,temperature,energy_density,vorticity,attractor_id
0.0000,1.0,9.0,-0.009159,0.058092,0.002115,0.029765,2.500000,0.030823,0,6
0.0000,1.0,10.0,0.004538,0.039094,0.004646,0.013470,2.500000,0.015793,0,10
0.0000,1.0,11.0,-0.081330,0.101619,0.006865,0.141143,2.500000,0.144576,0,6
0.0000,1.0,12.0,-0.053151,0.093509,0.017001,0.097278,2.500000,0.105778,0,6
0.0000,1.0,13.0,0.075443,-0.058009,0.006187,0.077257,2.500000,0.080350,0,9
0.0000,1.0,14.0,0.112678,0.052715,0.007198,0.127400,2.500000,0.130999,0,10
0.0000,1.0,15.0,-0.014562,-0.002496,0.003640,0.001913,2.500000,0.003733,1,5
0.0000,1.0,16.0,-0.056144,0.023929,0.003169,0.032157,2.500000,0.033742,0,6
0.0000,1.0,17.0,0.009226,-0.039028,0.001112,0.013991,2.500000,0.014547,0,9
0.0000,1.0,18.0,-0.020831,-0.003942,0.004730,0.003934,2.500000,0.006299,0,5
0.0000,1.0,19.0,0.097224,-0.073004,0.007655,0.123815,2.500000,0.127642,0,9
0.0000,1.0,20.0,-0.028520,-0.108352,0.000841,0.103257,2.500000,0.103678,1,5
0.0000,1.0,21.0,0.001974,-0.088160,0.006413,0.065191,2.500000,0.068398,0,9
0.0000,1.0,22.0,-0.038287,0.032925,0.001592,0.022202,2.500000,0.022998,0,6
0.0000,1.0,23.0,-0.029893,-0.036090,0.002675,0.019140,2.500000,0.020477,-1,5
0.0000,1.0,24.0,-0.060702,0.028746,0.002028,0.038855,2.500000,0.039868,-1,6
0.0000,1.0,25.0,-0.007950,-0.019302,0.001691,0.003816,2.500000,0.004661,0,5
0.0000,1.0,26.0,0.012758,0.015461,0.000255,0.003521,2.500000,0.003648,0,10
0.0000,1.0,27.0,-0.011918,0.030931,0.006578,0.009592,2.500000,0.012880,-1,6
0.0000,1.0,28.0,-0.001299,-0.024571,0.003218,0.005293,2.500000,0.006902,-1,5
0.0000,1.0,29.0,-0.088576,0.015000,0.001212,0.067717,2.500000,0.068323,0,6
0.0000,1.0,30.0,-0.055506,0.004246,0.008828,0.026706,2.500000,0.031120,0,6
0.0000,1.0,31.0,0.034850,0.109161,0.009829,0.108077,2.500000,0.112991,0,10
0.0000,1.0,32.0,-0.004895,-0.009350,0.001958,0.000977,2.500000,0.001956,-1,5
0.0000,1.0,33.0,-0.077446,0.034924,0.007650,0.061437,2.500000,0.065261,0,6
0.0000,1.0,34.0,-0.034333,-0.127973,0.012829,0.140779,2.500000,0.147193,0,5
0.0000,1.0,35.0,0.049656,-0.023702,0.003792,0.026236,2.500000,0.028132,0,9
0.0000,1.0,36.0,-0.057928,-0.046059,0.015807,0.047255,2.500000,0.055158,1,5
0.0000,1.0,37.0,0.063664,0.064642,0.005825,0.070511,2.500000,0.073423,0,10
0.0000,1.0,38.0,-0.005088,-0.014812,0.002323,0.002149,2.500000,0.003311,-1,5
0.0000,1.0,39.0,0.068059,0.016174,0.002939,0.041845,2.500000,0.043314,1,10
0.0000,1.0,40.0,0.000014,-0.048925,0.003696,0.020708,2.500000,0.022556,-1,9
0.0000,1.0,41.0,-0.000516,0.042792,0.000717,0.015897,2.500000,0.016255,0,6
0.0000,1.0,42.0,0.034616,0.004792,0.001645,0.010641,2.500000,0.011463,1,10
0.0000,1.0,43.0,0.050047,-0.060157,0.008127,0.052745,2.500000,0.056808,0,9
0.0000,1.0,44.0,-0.075803,-0.112539,0.014024,0.151943,2.500000,0.158955,0,5
0.0000,1.0,45.0,0.026475,-0.030106,0.000483,0.014034,2.500000,0.014276,0,9
0.0000,1.0,46.0,0.037454,-0.019571,0.002725,0.015559,2.500000,0.016922,-1,9
0.0000,1.0,47.0,0.024059,0.043903,0.003877,0.021783,2.500000,0.023721,1,10
0.0000,2.0,0.0,0.060449,0.019882,0.002972,0.034842,2.500000,0.036328,1,10
0.0000,2.0,1.0,0.049767,0.018037,0.011326,0.024266,2.500000,0.029929,1,10
0.0000,2.0,2.0,-0.045096,-0.079982,0.010352,0.071701,2.500000,0.076877,0,5
0.0000,2.0,3.0,0.023315,0.058554,0.003133,0.034238,2.500000,0.035804,0,10
0.0000,2.0,4.0,-0.052510,-0.004719,0.001103,0.023999,2.500000,0.024551,0,5
0.0000,2.0,5.0,-0.005144,0.038469,0.001572,0.013104,2.500000,0.013890,-1,6
0.0000,2.0,6.0,0.023558,-0.026549,0.002362,0.011012,2.500000,0.012193,0,9
0.0000,2.0,7.0,-0.023914,-0.109437,0.010053,0.102952,2.500000,0.107978,-1,5
0.0000,2.0,8.0,0.009574,0.043178,0.002093,0.016983,2.500000,0.018030,-1,10
0.0000,2.0,9.0,0.010780,-0.028588,0.003511,0.008155,2.500000,0.009910,0,9
0.0000,2.0,10.0,0.089433,0.048788,0.002596,0.087566,2.500000,0.088864,0,10
0.0000,2.0,11.0,0.029696,-0.017849,0.003635,0.010487,2.500000,0.012305,0,9
0.0000,2.0,12.0,-0.070118,-0.074489,0.013996,0.089053,2.500000,0.096051,0,5
0.0000,2.0,13.0,0.065083,0.046839,0.010151,0.055261,2.500000,0.060336,0,10
0.0000,2.0,14.0,0.015680,0.040643,0.004230,0.016507,2.500000,0.018622,0,10
0.0000,2.0,15.0,0.088216,-0.042101,0.011404,0.080632,2.500000,0.086334,-1,9
0.0000,2.0,16.0,0.006158,0.047568,0.002690,0.019923,2.500000,0.021269,0,10
0.0000,2.0,17.0,-0.032109,-0.014420,0.000426,0.010813,2.500000,0.011026,0,5
0.0000,2.0,18.0,-0.022522,0.010551,0.000622,0.005413,2.500000,0.005724,-1,6
0.0000,2.0,19.0,-0.011892,-0.032351,0.003854,0.010366,2.500000,0.012293,0,5
0.0000,2.0,20.0,0.003196,-0.076421,0.007858,0.049608,2.500000,0.053537,0,9
0.0000,2.0,21.0,0.004593,0.008595,0.002394,0.000833,2.500000,0.002030,0,10
0.0000,2.0,22.0,-0.018785,0.066886,0.004848,0.041327,2.500000,0.043751,1,6
0.0000,2.0,23.0,0.005032,0.029683,0.001956,0.007912,2.500000,0.008890,-1,10
0.0000,2.0,24.0,-0.005759,0.029309,0.003558,0.007790,2.500000,0.009568,0,6
0.0000,2.0,25.0,0.062950,-0.009299,0.004740,0.034729,2.500000,0.037099,-1,9
0.0000,2.0,26.0,0.009771,0.028158,0.005461,0.007761,2.500000,0.010492,0,10
0.0000,2.0,27.0,0.105123,-0.066118,0.013609,0.128284,2.500000,0.135088,0,9
0.0000,2.0,28.0,-0.055742,-0.051489,0.005362,0.049676,2.500000,0.052357,0,5
0.0000,2.0,29.0,-0.028461,0.020002,0.002842,0.010575,2.500000,0.011996,1,6
0.0000,2.0,30.0,0.051022,0.073477,0.008852,0.068395,2.500000,0.072821,-1,10
0.0000,2.0,31.0,-0.030977,-0.029973,0.000892,0.016212,2.500000,0.016658,1,5
0.0000,2.0,32.0,-0.001965,0.015117,0.003518,0.002036,2.500000,0.003795,0,6
0.0000,2.0,33.0,-0.033323,0.050963,0.005112,0.032124,2.500000,0.034680,-1,6
0.0000,2.0,34.0,-0.101022,0.042155,0.004641,0.099779,2.500000,0.102100,0,6
0.0000,2.0,35.0,-0.005757,-0.028375,0.012403,0.007321,2.500000,0.013523,-1,5
0.0000,2.0,36.0,0.094084,0.068312,0.011480,0.113599,2.500000,0.119339,0,10
0.0000,2.0,37.0,-0.046954,0.069418,0.004266,0.060204,2.500000,0.062337,0,6
0.0000,2.0,38.0,-0.056790,-0.032389,0.011478,0.036916,2.500000,0.042655,0,5
0.0000,2.0,39.0,0.034543,0.058183,0.010819,0.039516,2.500000,0.044926,0,10
0.0000,2.0,40.0,-0.079373,-0.040554,0.008089,0.067569,2.500000,0.071613,1,5
0.0000,2.0,41.0,-0.002090,0.029130,0.002080,0.007446,2.500000,0.008486,-1,6
0.0000,2.0,42.0,0.023225,-0.039851,0.003749,0.018521,2.500000,0.020396,0,9
0.0000,2.0,43.0,0.005411,0.049079,0.001294,0.021094,2.500000,0.021741,0,10
0.0000,2.0,44.0,0.052107,0.037392,0.004193,0.035614,2.500000,0.037711,1,10
0.0000,2.0,45.0,0.067505,-0.025996,0.011222,0.044836,2.500000,0.050447,0,9
0.0000,2.0,46.0,0.040259,-0.101319,0.009208,0.098901,2.500000,0.103505,0,9
0.0000,2.0,47.0,-0.037786,-0.018340,0.005134,0.015367,2.500000,0.017934,1,5
0.0000,3.0,0.0,-0.047492,0.030812,0.016976,0.027813,2.500000,0.036301,0,6
0.0000,3.0,1.0,0.076579,-0.143138,0.025764,0.209094,2.500000,0.221975,-1,9
0.0000,3.0,2.0,0.023323,0.033390,0.004509,0.014475,2.500000,0.016730,0,10
0.0000,3.0,3.0,-0.009941,0.099452,0.002610,0.082758,2.500000,0.084063,0,6
0.0000,3.0,4.0,-0.038867,0.006123,0.001432,0.013466,2.500000,0.014181,0,6
0.0000,3.0,5.0,0.029807,0.034560,0.002176,0.018161,2.500000,0.019249,0,10
0.0000,3.0,6.0,0.006062,-0.022209,0.001529,0.004637,2.500000,0.005402,0,9
0.0000,3.0,7.0,-0.005721,0.014927,0.002078,0.002239,2.500000,0.003278,0,6
0.0000,3.0,8.0,0.047008,0.000531,0.002096,0.019140,2.500000,0.020189,0,10
0.0000,3.0,9.0,0.052566,-0.039672,0.001984,0.037538,2.500000,0.038530,0,9
0.0000,3.0,10.0,0.110577,0.004890,0.006327,0.100062,2.500000,0.103226,0,10
0.0000,3.0,11.0,-0.007246,-0.015697,0.003545,0.002619,2.500000,0.004391,0,5
0.0000,3.0,12.0,0.050312,0.017595,0.008308,0.024594,2.500000,0.028748,0,10
0.0000,3.0,13.0,-0.126433,0.008816,0.008634,0.128354,2.500000,0.132672,0,6
0.0000,3.0,14.0,-0.031469,-0.010224,0.005748,0.009554,2.500000,0.012428,-1,5
0.0000,3.0,15.0,-0.071363,-0.115416,0.012440,0.151487,2.500000,0.157706,0,5
0.0000,3.0,16.0,-0.033761,-0.014568,0.009172,0.011793,2.500000,0.016379,1,5
0.0000,3.0,17.0,-0.007302,0.004942,0.000638,0.000682,2.500000,0.001001,1,6
0.0000,3.0,18.0,0.000549,0.009493,0.002690,0.000793,2.500000,0.002138,0,10
0.0000,3.0,19.0,0.084717,0.030213,0.008879,0.068346,2.500000,0.072786,0,10
0.0000,3.0,20.0,0.073563,0.062319,0.001064,0.079317,2.500000,0.079849,0,10
0.0000,3.0,21.0,0.052442,0.066402,0.010697,0.061450,2.500000,0.066798,0,10
0.0000,3.0,22.0,-0.090394,-0.044073,0.009883,0.085197,2.500000,0.090139,0,5
0.0000,3.0,23.0,0.087291,-0.000967,0.009391,0.063943,2.500000,0.068639,1,9
0.0000,3.0,24.0,-0.087507,-0.007248,0.011037,0.064700,2.500000,0.070218,-1,5
0.0000,3.0,25.0,0.015950,-0.121192,0.006268,0.120441,2.500000,0.123575,0,9
0.0000,3.0,26.0,-0.028988,-0.020458,0.000461,0.010999,2.500000,0.011230,0,5
0.0000,3.0,27.0,-0.054891,-0.013790,0.004019,0.027640,2.500000,0.029649,0,5
0.0000,3.0,28.0,0.063760,-0.015249,0.008710,0.036867,2.500000,0.041222,0,9
0.0000,3.0,29.0,-0.074893,0.014063,0.006222,0.049355,2.500000,0.052466,0,6
0.0000,3.0,30.0,-0.007637,-0.047112,0.002518,0.019733,2.500000,0.020992,0,5
0.0000,3.0,31.0,-0.053514,-0.016356,0.010316,0.027051,2.500000,0.032209,-1,5
0.0000,3.0,32.0,0.098762,-0.025595,0.002274,0.086552,2.500000,0.087689,0,9
0.0000,3.0,33.0,0.056802,-0.036591,0.005052,0.039435,2.500000,0.041961,0,9
0.0000,3.0,34.0,-0.036543,0.023243,0.005378,0.016349,2.500000,0.019038,0,6
0.0000,3.0,35.0,-0.077302,0.130303,0.007628,0.185487,2.500000,0.189301,0,6
0.0000,3.0,36.0,-0.052034,-0.000070,0.002347,0.023381,2.500000,0.024555,0,5
0.0000,3.0,37.0,-0.035435,-0.011011,0.006997,0.011998,2.500000,0.015497,0,5
0.0000,3.0,38.0,0.110681,-0.068739,0.011930,0.140380,2.500000,0.146345,0,9
0.0000,3.0,39.0,-0.060115,-0.049482,0.009957,0.052223,2.500000,0.057201,0,5
0.0000,3.0,40.0,0.064095,-0.071284,0.005348,0.078474,2.500000,0.081148,-1,9
0.0000,3.0,41.0,0.032678,-0.012230,0.001998,0.010621,2.500000,0.011620,0,9
