idx,sweep,mu_sym,c4_pta_product,screening_suppression_factor,phi_center_ratio,numerically_stable,pta_max_deviation_from_hd,H0_implied_km_s_Mpc,Omega_m_frozen,wall_time_seconds,error
0,2d,1.0,0.08035,0.00011811720750749558,1.9741863069299735e-14,True,0.08035000000000003,67.661122494938,0.31115000000000004,0.01633906364440918,
1,2d,0.4792662831390549,2.594401032017067e-05,6.59232831203068e-05,1.4573046728855808e-14,True,2.5944010320189115e-05,67.661122494938,0.31115000000000004,0.01324152946472168,
2,2d,0.9297662439996871,390.69093145536027,0.00011055915242740393,1.9059596898667857e-14,True,390.69093145536027,67.661122494938,0.31115000000000004,0.013826847076416016,
3,2d,2.441093164827575,0.001019172760250909,0.00032889295491499225,3.558656318467179e-14,True,0.0010191727602509304,67.661122494938,0.31115000000000004,0.016754865646362305,
4,2d,0.30631074373813527,9.679446093989311,4.951986392138e-05,1.2603859759900285e-14,True,9.679446093989313,67.661122494938,0.31115000000000004,0.01234889030456543,
5,2d,0.2129343174639384,0.054965821676405006,4.092988647731454e-05,1.1450036136638652e-14,True,0.05496582167640501,67.661122494938,0.31115000000000004,0.00948786735534668,
6,2d,1.6264017463426634,0.18275913503142974,0.00019554534554839167,2.6059685747528555e-14,True,0.1827591350314297,67.661122494938,0.31115000000000004,0.01559591293334961,
7,2d,1.5191495220038453,0.0006889725595803603,0.00018089718280146208,2.4933402091439935e-14,True,0.0006889725595803364,67.661122494938,0.31115000000000004,0.01381683349609375,
8,2d,0.7505233628959839,14.44757669505939,9.212008906687133e-05,1.731649766395565e-14,True,14.44757669505939,67.661122494938,0.31115000000000004,0.013047933578491211,
9,2d,0.6295922048623305,0.00835135028070808,8.026008209463508e-05,1.6121519108769608e-14,True,0.008351350280708103,67.661122494938,0.31115000000000004,0.011881828308105469,
10,2d,1.2896702455587832,1.213517541163301,0.00015155722931256034,2.259432177034136e-14,True,1.213517541163301,67.661122494938,0.31115000000000004,0.014348506927490234,
11,2d,1.9164327801929426,3.165271113868253e-05,0.00023835747349817775,2.923518327680858e-14,True,3.165271113869661e-05,67.661122494938,0.31115000000000004,0.014750957489013672,
12,2d,0.253918871183908,311.7144873417353,4.4613752023770914e-05,1.1957767505985913e-14,True,311.7144873417353,67.661122494938,0.31115000000000004,0.009479522705078125,
13,2d,0.36520998021912177,0.00017693592111636726,5.51122540163925e-05,1.3304694049269447e-14,True,0.00017693592111639456,67.661122494938,0.31115000000000004,0.01235055923461914,
14,2d,2.875922828892197,56.7679726935589,0.0004184501844224182,4.16140766112001e-14,True,56.7679726935589,67.661122494938,0.31115000000000004,0.015865802764892578,
15,2d,0.7894512958062997,0.02139704041973553,9.602890992887554e-05,1.7696550124741337e-14,True,0.021397040419735558,67.661122494938,0.31115000000000004,0.012889623641967773,
16,2d,0.4021058421496184,0.46526197116188006,5.861514148710627e-05,1.3727037072775014e-14,True,0.4652619711618802,67.661122494938,0.31115000000000004,0.011707544326782227,
17,2d,0.45758091556819885,0.0127792106942177,6.387043816641242e-05,1.4339821919850958e-14,True,0.012779210694217724,67.661122494938,0.31115000000000004,0.011784076690673828,
18,2d,0.8971728779820479,0.7861522291480464,0.00010711851780367675,1.8743322460643107e-14,True,0.7861522291480463,67.661122494938,0.31115000000000004,0.01291346549987793,
19,2d,2.754811437488428,0.0002753957058867317,0.00039206836352010456,3.9854599160059986e-14,True,0.00027539570588674955,67.661122494938,0.31115000000000004,0.015706777572631836,
20,2d,0.34936682923398293,36.146260401292245,5.360660740169185e-05,1.3119387264724581e-14,True,36.146260401292245,67.661122494938,0.31115000000000004,0.012203216552734375,
21,2d,0.2643792899711973,6.481785564926847e-05,4.558144078288596e-05,1.2087774469836296e-14,True,6.481785564926845e-05,67.661122494938,0.31115000000000004,0.00939035415649414,
22,2d,1.9980335190505305,156.38654436660053,0.0002512889435404875,3.016741603138786e-14,True,156.38654436660053,67.661122494938,0.31115000000000004,0.015398025512695312,
23,2d,1.136328914920782,0.004377887028428219,0.0001333829567398209,2.1074075353445333e-14,True,0.004377887028428229,67.661122494938,0.31115000000000004,0.013610601425170898,
24,2d,0.5554696540581845,2.2535781592406563,7.315513550460003e-05,1.5370415581791118e-14,True,2.2535781592406563,67.661122494938,0.31115000000000004,0.011410236358642578,
25,2d,0.6611758779209772,0.00039693520511698563,8.332078356632926e-05,1.6436450750718243e-14,True,0.0003969352051169661,67.661122494938,0.31115000000000004,0.011403560638427734,
26,2d,1.3400779675438654,25.30588167845664,0.00015777616092200734,2.3100805637763116e-14,True,25.30588167845664,67.661122494938,0.31115000000000004,0.014141082763671875,
27,2d,1.6936859235389625,0.08868833605670075,0.000205053182516365,2.677863745970021e-14,True,0.08868833605670073,67.661122494938,0.31115000000000004,0.014486312866210938,
28,2d,0.22203747959335018,0.1122591401457814,4.172932761839216e-05,1.1562027716759397e-14,True,0.11225914014578142,67.661122494938,0.31115000000000004,0.00919795036315918,
29,2d,0.2933630613384075,0.0020133263702046883,4.8296575859830916e-05,1.244570792774871e-14,True,0.002013326370204682,67.661122494938,0.31115000000000004,0.011846542358398438,
30,2d,2.334805958318152,5.034142803656999,0.0003090886954263761,3.422666183039643e-14,True,5.034142803656999,67.661122494938,0.31115000000000004,0.014062643051147461,
31,2d,1.0582121525659862,1.409815658062636e-05,0.00012453702159692613,2.0309062080426104e-14,True,1.4098156580599763e-05,67.661122494938,0.31115000000000004,0.013106107711791992,
32,2d,0.5447537947112844,699.8859381762521,7.213502381388518e-05,1.5260076294828242e-14,True,699.8859381762521,67.661122494938,0.31115000000000004,0.010743379592895508,
33,2d,0.5174254894113874,0.0015980767844697404,6.953903552507709e-05,1.4976212822979253e-14,True,0.0015980767844697152,67.661122494938,0.31115000000000004,0.010796308517456055,
